MeetingStart;MeetingEnd;Subject;EventType;BusyStatus;;
2017-01-19 23:00;2017-01-20 05:00;Servicefönster 2017-01-19. Fokus applikation;Normal;Busy;;
2017-01-19 00:00;2017-01-19 00:00;Servicefönster 2017-01-19. Fokus applikation;AllDay;Free;;
2016-12-29 07:30;2016-12-29 08:00;Ändringsanmälan till servicefönster 2017-01-19 skall vara inne idag!;Normal;Free;;
2016-12-26 07:30;2016-12-26 08:00;Ändringsanmälan till servicefönster 2017-01-19 skall vara inskickad 2016-12-29;Normal;Free;;
2016-12-22 07:30;2016-12-22 08:00;Ändringsanmälan till servicefönster 2017-01-19 skall vara inskickad 2016-12-29;Normal;Free;;
2017-02-16 23:00;2017-02-17 05:00;Servicefönster 2017-02-16. Fokus teknik;Normal;Busy;;
2017-02-16 00:00;2017-02-16 00:00;Servicefönster 2017-02-16. Fokus teknik;AllDay;Free;;
2017-01-26 07:30;2017-01-26 08:00;Ändringsanmälan till servicefönster 2017-02-16 skall vara inne idag!;Normal;Free;;
2017-01-23 07:30;2017-01-23 08:00;Ändringsanmälan till servicefönster 2017-02-16 skall vara inskickad 2017-01-26;Normal;Free;;
2017-01-19 07:30;2017-01-19 08:00;Ändringsanmälan till servicefönster 2017-02-16 skall vara inskickad 2017-01-26;Normal;Free;;
2017-03-16 23:00;2017-03-17 05:00;Servicefönster 2017-03-16. Fokus applikation;Normal;Busy;;
2017-03-16 00:00;2017-03-16 00:00;Servicefönster 2017-03-16. Fokus applikation;AllDay;Free;;
2017-02-23 07:30;2017-02-23 08:00;Ändringsanmälan till servicefönster 2017-03-16 skall vara inne idag!;Normal;Free;;
2017-02-20 07:30;2017-02-20 08:00;Ändringsanmälan till servicefönster 2017-03-16 skall vara inskickad 2017-02-23;Normal;Free;;
2017-02-16 07:30;2017-02-16 08:00;Ändringsanmälan till servicefönster 2017-03-16 skall vara inskickad 2017-02-23;Normal;Free;;
2017-04-20 23:00;2017-04-21 05:00;Servicefönster 2017-04-20. Fokus teknik;Normal;Busy;;
2017-04-20 00:00;2017-04-20 00:00;Servicefönster 2017-04-20. Fokus teknik;AllDay;Free;;
2017-03-30 07:30;2017-03-30 08:00;Ändringsanmälan till servicefönster 2017-04-20 skall vara inne idag!;Normal;Free;;
2017-03-27 07:30;2017-03-27 08:00;Ändringsanmälan till servicefönster 2017-04-20 skall vara inskickad 2017-03-30;Normal;Free;;
2017-03-23 07:30;2017-03-23 08:00;Ändringsanmälan till servicefönster 2017-04-20 skall vara inskickad 2017-03-30;Normal;Free;;
2017-05-18 23:00;2017-05-19 05:00;Servicefönster 2017-05-18. Fokus applikation;Normal;Busy;;
2017-05-18 00:00;2017-05-18 00:00;Servicefönster 2017-05-18. Fokus applikation;AllDay;Free;;
2017-04-27 07:30;2017-04-27 08:00;Ändringsanmälan till servicefönster 2017-05-18 skall vara inne idag!;Normal;Free;;
2017-04-24 07:30;2017-04-24 08:00;Ändringsanmälan till servicefönster 2017-05-18 skall vara inskickad 2017-04-27;Normal;Free;;
2017-04-20 07:30;2017-04-20 08:00;Ändringsanmälan till servicefönster 2017-05-18 skall vara inskickad 2017-04-27;Normal;Free;;
2017-06-15 23:00;2017-06-16 05:00;Servicefönster 2017-06-15. Fokus teknik;Normal;Busy;;
